,non-chitinase,Chitinase,Real
319,2.03E-05,0.99997973,1
320,0.003047871,0.99695206,1
321,3.63E-05,0.99996364,1
322,2.43E-07,0.99999976,1
323,0.000943223,0.99905676,1
324,4.31E-07,0.9999995,1
325,0.003755275,0.9962447,1
326,0.003692552,0.9963075,1
327,0.000151089,0.99984884,1
328,1.38E-06,0.99999857,1
329,0.000269014,0.999731,1
330,7.42E-05,0.99992585,1
331,1.54E-06,0.99999845,1
332,1.97E-06,0.999998,1
333,3.65E-07,0.99999964,1
334,4.78E-07,0.9999995,1
335,0.000232769,0.99976724,1
336,0.001004609,0.99899536,1
337,0.001500656,0.9984994,1
338,1.90E-05,0.99998105,1
339,1.90E-05,0.99998105,1
340,1.90E-05,0.99998105,1
341,0.000385661,0.99961436,1
342,2.21E-07,0.99999976,1
343,1.87E-07,0.99999976,1
344,1.87E-07,0.99999976,1
345,5.28E-05,0.9999472,1
346,0.000906861,0.9990932,1
347,7.24E-07,0.9999993,1
348,5.37E-07,0.9999994,1
349,0.001730291,0.9982697,1
350,0.000101923,0.9998981,1
351,1.04E-06,0.9999989,1
352,2.50E-06,0.9999975,1
353,0.000526493,0.9994735,1
354,2.60E-06,0.9999974,1
355,3.26E-05,0.99996746,1
356,7.38E-05,0.9999262,1
357,4.63E-07,0.9999995,1
358,0.000545824,0.9994542,1
359,1.72E-05,0.99998283,1
360,7.09E-05,0.9999291,1
361,0.000221875,0.9997781,1
362,0.000221875,0.9997781,1
363,8.39E-06,0.99999166,1
364,1.96E-06,0.9999981,1
365,4.91E-05,0.9999509,1
366,0.000207045,0.999793,1
367,0.00026185,0.99973816,1
368,4.93E-05,0.99995077,1
369,2.08E-05,0.99997914,1
370,7.55E-05,0.99992454,1
371,1.85E-06,0.9999982,1
372,5.70E-06,0.9999943,1
373,9.62E-05,0.9999038,1
374,0.002406158,0.9975938,1
375,0.001967753,0.9980323,1
376,4.89E-07,0.9999995,1
377,6.56E-06,0.99999344,1
378,6.03E-07,0.9999994,1
379,4.34E-05,0.9999566,1
380,5.48E-05,0.99994516,1
381,9.40E-05,0.99990606,1
382,1.67E-05,0.9999833,1
383,1.95E-05,0.99998057,1
384,0.00017208,0.99982786,1
385,3.13E-07,0.99999964,1
386,3.13E-07,0.99999964,1
387,3.13E-07,0.99999964,1
388,3.13E-07,0.99999964,1
389,0.000621965,0.99937797,1
390,7.54E-07,0.9999993,1
391,0.000251776,0.9997482,1
392,1.43E-06,0.99999857,1
393,0.000149205,0.99985075,1
394,9.77E-05,0.99990225,1
395,0.001496809,0.9985032,1
396,2.47E-05,0.9999753,1
397,2.47E-05,0.9999753,1
398,0.001690007,0.99830997,1
399,0.000334385,0.9996656,1
400,0.004866208,0.9951338,1
401,9.65E-06,0.99999034,1
402,3.05E-06,0.9999969,1
403,0.000225059,0.999775,1
404,0.004107188,0.99589276,1
405,2.68E-06,0.9999974,1
406,8.30E-06,0.99999166,1
407,2.81E-07,0.99999976,1
408,7.25E-05,0.9999275,1
409,2.93E-06,0.999997,1
410,7.58E-06,0.9999924,1
411,0.000232504,0.9997675,1
412,0.001139197,0.99886084,1
413,0.000125031,0.99987495,1
414,0.00314504,0.9968549,1
415,0.000152365,0.99984765,1
416,6.40E-06,0.99999356,1
417,3.00E-07,0.99999964,1
418,1.37E-05,0.9999863,1
419,0.000150199,0.9998498,1
420,0.000150199,0.9998498,1
421,0.000150199,0.9998498,1
422,0.000165475,0.99983454,1
423,0.000165475,0.99983454,1
424,6.66E-07,0.9999993,1
425,2.15E-05,0.99997854,1
426,2.94E-05,0.9999707,1
427,2.94E-05,0.9999707,1
428,1.59E-05,0.99998415,1
429,2.01E-05,0.99998,1
430,2.18E-05,0.9999782,1
431,4.39E-06,0.9999956,1
432,4.93E-06,0.9999951,1
433,9.99E-06,0.99999,1
434,5.88E-06,0.99999416,1
435,2.38E-06,0.9999976,1
436,5.79E-05,0.99994206,1
437,8.85E-06,0.9999912,1
438,2.27E-06,0.99999774,1
439,3.62E-05,0.99996376,1
440,6.60E-06,0.99999344,1
441,4.93E-06,0.9999951,1
442,8.66E-06,0.9999913,1
443,3.11E-06,0.9999969,1
444,1.40E-06,0.99999857,1
445,8.79E-07,0.99999917,1
446,0.0001545,0.9998455,1
447,1.53E-06,0.99999845,1
448,1.23E-06,0.9999988,1
449,2.89E-05,0.99997115,1
450,0.000168826,0.9998312,1
451,0.000717257,0.9992828,1
452,5.39E-07,0.9999994,1
453,3.21E-07,0.99999964,1
454,0.003755275,0.9962447,1
455,0.003692552,0.9963075,1
456,0.000151089,0.99984884,1
457,1.38E-06,0.99999857,1
458,0.000269014,0.999731,1
459,7.42E-05,0.99992585,1
460,1.54E-06,0.99999845,1
461,1.97E-06,0.999998,1
462,3.65E-07,0.99999964,1
463,4.78E-07,0.9999995,1
464,0.000232769,0.99976724,1
465,0.001004609,0.99899536,1
466,0.001500656,0.9984994,1
467,1.90E-05,0.99998105,1
468,1.90E-05,0.99998105,1
469,1.90E-05,0.99998105,1
470,0.000385661,0.99961436,1
471,2.21E-07,0.99999976,1
472,1.87E-07,0.99999976,1
473,1.87E-07,0.99999976,1
474,5.28E-05,0.9999472,1
475,0.000906861,0.9990932,1
476,7.24E-07,0.9999993,1
477,5.37E-07,0.9999994,1
478,0.001730291,0.9982697,1
479,0.000101923,0.9998981,1
480,1.04E-06,0.9999989,1
481,2.50E-06,0.9999975,1
482,0.000526493,0.9994735,1
483,2.60E-06,0.9999974,1
484,3.26E-05,0.99996746,1
485,7.38E-05,0.9999262,1
486,4.63E-07,0.9999995,1
487,0.000545824,0.9994542,1
488,1.72E-05,0.99998283,1
489,7.09E-05,0.9999291,1
490,0.000221875,0.9997781,1
491,0.000221875,0.9997781,1
492,8.39E-06,0.99999166,1
493,9.67E-06,0.99999034,1
494,0.000197404,0.99980265,1
495,0.000197404,0.99980265,1
496,0.000197404,0.99980265,1
497,3.47E-06,0.99999654,1
498,1.86E-06,0.9999981,1
499,1.30E-06,0.9999987,1
500,6.22E-06,0.9999938,1
501,0.000171086,0.99982893,1
502,0.000209596,0.9997904,1
503,2.53E-06,0.9999975,1
504,2.53E-06,0.9999975,1
505,0.000204261,0.99979573,1
506,1.83E-06,0.9999982,1
507,0.000320004,0.99968004,1
508,3.24E-07,0.99999964,1
509,3.34E-07,0.99999964,1
510,3.93E-07,0.99999964,1
511,3.79E-07,0.99999964,1
512,0.000191648,0.9998084,1
513,1.90E-05,0.99998105,1
514,1.90E-05,0.99998105,1
515,0.000323486,0.9996766,1
516,1.87E-07,0.99999976,1
517,3.30E-05,0.999967,1
518,6.76E-07,0.9999993,1
519,5.37E-07,0.9999994,1
520,0.001740255,0.9982597,1
521,3.22E-07,0.99999964,1
522,7.79E-07,0.99999917,1
523,0.000692334,0.99930763,1
524,1.50E-06,0.99999845,1
525,3.06E-05,0.99996936,1
526,2.76E-05,0.99997246,1
527,1.83E-05,0.99998176,1
528,1.58E-07,0.9999999,1
529,0.001041538,0.99895847,1
530,2.01E-05,0.99997985,1
531,3.31E-05,0.99996686,1
532,7.32E-05,0.9999268,1
533,3.27E-06,0.9999968,1
534,2.18E-06,0.99999785,1
535,1.57E-06,0.99999845,1
536,7.11E-05,0.99992895,1
537,0.000152589,0.9998474,1
538,1.37E-06,0.99999857,1
539,0.000270371,0.9997296,1
540,6.57E-07,0.9999993,1
541,5.37E-07,0.9999994,1
542,0.001873978,0.998126,1
543,5.36E-06,0.99999464,1
544,0.00116256,0.9988374,1
545,3.00E-05,0.99996996,1
546,4.27E-05,0.9999573,1
547,9.42E-07,0.99999905,1
548,3.33E-07,0.99999964,1
549,3.33E-07,0.99999964,1
550,2.73E-06,0.99999726,1
551,3.78E-07,0.99999964,1
552,0.000191648,0.9998084,1
553,4.16E-06,0.9999958,1
554,2.16E-07,0.99999976,1
555,0.000693493,0.99930656,1
556,8.95E-05,0.9999105,1
557,0.001532793,0.99846715,1
558,4.90E-07,0.9999995,1
559,1.76E-05,0.99998236,1
560,0.053677924,0.9463221,1
561,1.03E-05,0.9999896,1
562,0.00034421,0.99965584,1
563,0.00034421,0.99965584,1
564,0.00034421,0.99965584,1
565,0.00034421,0.99965584,1
566,4.10E-05,0.999959,1
567,4.10E-05,0.999959,1
568,4.10E-05,0.999959,1
569,4.10E-05,0.999959,1
570,3.54E-05,0.9999646,1
571,4.04E-05,0.9999596,1
572,2.38E-05,0.99997616,1
573,3.21E-05,0.99996793,1
574,4.92E-05,0.99995077,1
575,3.76E-05,0.99996245,1
576,5.61E-05,0.99994385,1
577,3.67E-05,0.9999633,1
578,5.76E-05,0.9999424,1
579,7.11E-05,0.99992883,1
580,4.03E-05,0.9999597,1
581,0.000140455,0.9998596,1
582,7.07E-05,0.9999293,1
583,4.93E-05,0.99995077,1
584,7.10E-05,0.9999291,1
585,8.83E-05,0.99991167,1
586,5.90E-05,0.999941,1
587,5.27E-05,0.9999473,1
588,0.000217605,0.9997824,1
589,0.000101069,0.9998989,1
590,6.17E-05,0.99993825,1
591,6.87E-05,0.99993134,1
592,0.000385064,0.99961495,1
593,0.000160637,0.9998393,1
594,2.16E-06,0.99999785,1
595,7.93E-05,0.9999207,1
596,2.52E-06,0.9999975,1
597,3.79E-05,0.9999621,1
598,0.000960513,0.9990395,1
599,3.60E-06,0.9999964,1
600,1.92E-06,0.9999981,1
601,1.58E-06,0.99999845,1
602,3.85E-07,0.99999964,1
603,0.000318237,0.99968183,1
604,0.003294681,0.99670535,1
605,0.002780531,0.99721944,1
606,1.88E-05,0.99998116,1
607,1.88E-05,0.99998116,1
608,1.88E-05,0.99998116,1
609,0.000570083,0.9994299,1
610,2.00E-07,0.99999976,1
611,1.55E-05,0.9999845,1
612,8.12E-07,0.99999917,1
613,6.96E-07,0.9999993,1
614,5.40E-07,0.9999994,1
615,0.001667922,0.9983321,1
616,0.000188525,0.9998115,1
617,2.01E-06,0.999998,1
618,1.53E-05,0.9999846,1
619,0.000321816,0.99967825,1
620,6.05E-06,0.9999939,1
621,4.32E-06,0.9999957,1
622,3.09E-06,0.9999969,1
623,0.005452944,0.9945471,1
624,0.005452944,0.9945471,1
625,6.81E-07,0.9999993,1
626,7.69E-07,0.9999993,1
627,5.61E-05,0.99994385,1
628,9.24E-05,0.9999076,1
629,2.56E-05,0.99997437,1
630,2.56E-05,0.99997437,1
631,1.91E-07,0.99999976,1
632,0.000939453,0.9990606,1
633,0.005140772,0.9948592,1
634,7.97E-06,0.999992,1
635,1.88E-07,0.99999976,1
636,6.22E-05,0.9999379,1
637,3.30E-05,0.999967,1
638,2.08E-06,0.999998,1
639,3.03E-06,0.999997,1
640,4.16E-05,0.9999584,1
641,2.60E-05,0.999974,1
642,5.38E-06,0.99999464,1
643,9.68E-06,0.99999034,1
644,1.10E-06,0.9999989,1
645,0.000192069,0.999808,1
646,7.33E-07,0.9999993,1
647,8.31E-06,0.99999166,1
648,0.024993917,0.97500604,1
649,2.78E-06,0.99999726,1
650,2.20E-05,0.99997795,1
651,0.000267824,0.9997322,1
652,0.002335569,0.99766445,1
653,0.002347712,0.99765235,1
654,1.53E-05,0.99998474,1
655,1.77E-06,0.9999982,1
656,5.21E-05,0.9999479,1
657,2.88E-07,0.99999976,1
658,0.000127526,0.99987245,1
659,2.17E-05,0.9999783,1
660,0.90734696,0.092653014,1
661,9.66E-06,0.99999034,1
662,4.90E-05,0.999951,1
663,3.31E-07,0.99999964,1
664,1.10E-05,0.99998903,1
665,2.47E-07,0.99999976,1
666,5.72E-06,0.9999943,1
667,0.000285571,0.99971443,1
668,0.000541424,0.9994586,1
669,1.14E-05,0.99998856,1
670,2.83E-05,0.9999716,1
671,0.00043435,0.99956566,1
672,3.09E-05,0.9999691,1
673,1.04E-05,0.9999896,1
674,7.80E-06,0.99999225,1
675,0.009361881,0.99063814,1
676,0.000712047,0.999288,1
677,0.000105951,0.999894,1
678,0.002670198,0.99732983,1
679,0.000104136,0.9998958,1
680,0.000162567,0.9998374,1
681,2.98E-06,0.999997,1
682,0.000126337,0.99987364,1
683,0.006283688,0.9937163,1
684,2.93E-06,0.999997,1
685,1.90E-05,0.99998105,1
686,1.90E-05,0.99998105,1
687,6.06E-05,0.99993944,1
688,3.05E-07,0.99999964,1
689,0.00034674,0.9996532,1
690,0.000388522,0.99961156,1
691,7.54E-07,0.9999993,1
692,4.76E-06,0.99999523,1
693,0.002092104,0.9979079,1
694,0.003285456,0.9967146,1
695,0.006133885,0.99386615,1
696,7.38E-05,0.9999262,1
697,9.43E-07,0.99999905,1
698,3.73E-07,0.99999964,1
699,0.00039133,0.9996087,1
700,3.06E-07,0.99999964,1
701,5.79E-05,0.99994206,1
702,5.79E-05,0.99994206,1
703,0.20336707,0.7966329,1
704,0.5860919,0.4139081,1
705,6.68E-05,0.99993324,1
706,1.99E-05,0.9999801,1
707,0.001535801,0.9984642,1
708,0.001538985,0.998461,1
709,0.000163693,0.9998363,1
710,6.50E-05,0.9999349,1
711,7.91E-05,0.99992096,1
712,0.012997213,0.9870028,1
713,0.012997213,0.9870028,1
714,0.023003409,0.9769966,1
715,0.016317626,0.98368233,1
716,0.010195389,0.9898046,1
717,0.006199668,0.99380034,1
718,0.017154127,0.98284584,1
719,0.016567536,0.9834325,1
720,0.021012776,0.9789873,1
721,0.0206962,0.97930384,1
722,2.73E-07,0.99999976,1
723,3.14E-07,0.99999964,1
724,0.000182022,0.999818,1
725,2.36E-07,0.99999976,1
726,1.17E-05,0.9999883,1
727,3.02E-06,0.999997,1
728,2.63E-07,0.99999976,1
729,0.000781917,0.9992181,1
730,0.00057252,0.99942756,1
731,0.002634439,0.99736553,1
732,0.003753131,0.9962469,1
733,0.000259089,0.9997409,1
734,0.3699166,0.63008344,1
735,0.3699166,0.63008344,1
736,0.2313511,0.76864886,1
737,0.000284037,0.999716,1
738,0.005428462,0.9945715,1
739,4.05E-05,0.99995947,1
740,0.041643575,0.95835644,1
741,0.000251345,0.99974865,1
742,0.024931317,0.97506875,1
743,6.41E-06,0.99999356,1
744,0.001637152,0.99836284,1
745,3.45E-05,0.99996555,1
746,7.09E-05,0.9999291,1
747,5.78E-05,0.9999422,1
748,6.41E-05,0.99993587,1
749,2.17E-06,0.99999785,1
750,3.63E-06,0.9999964,1
751,0.000122897,0.9998771,1
752,1.23E-05,0.9999877,1
753,3.92E-05,0.9999608,1
754,3.92E-05,0.9999608,1
755,3.92E-05,0.9999608,1
756,2.16E-05,0.9999784,1
757,8.16E-06,0.9999919,1
758,4.80E-06,0.99999523,1
759,4.80E-06,0.99999523,1
760,0.000232829,0.9997671,1
761,5.02E-05,0.9999498,1
762,5.02E-05,0.9999498,1
763,0.00081054,0.99918944,1
764,1.02E-06,0.9999989,1
765,7.89E-05,0.9999211,1
766,1.76E-06,0.9999982,1
767,3.82E-06,0.9999962,1
768,8.55E-05,0.9999145,1
769,0.00013624,0.99986374,1
770,1.35E-05,0.9999864,1
771,4.73E-07,0.9999995,1
772,6.82E-07,0.9999993,1
773,7.95E-05,0.9999205,1
774,7.95E-05,0.9999205,1
775,2.88E-05,0.99997115,1
776,3.55E-07,0.99999964,1
777,0.001054888,0.9989452,1
778,2.82E-07,0.99999976,1
779,0.001538985,0.998461,1
780,0.000127149,0.9998728,1
781,0.001025313,0.9989747,1
782,1.36E-06,0.9999987,1
783,2.04E-05,0.9999796,1
784,4.61E-07,0.9999995,1
785,1.35E-06,0.9999987,1
786,0.006611139,0.9933889,1
787,6.68E-05,0.99993324,1
788,0.06506142,0.93493855,1
789,2.63E-07,0.99999976,1
790,3.15E-07,0.99999964,1
791,1.90E-07,0.99999976,1
792,3.23E-07,0.99999964,1
793,2.82E-06,0.99999714,1
794,0.08952733,0.9104727,1
795,9.25E-05,0.9999075,1
796,5.64E-05,0.9999436,1
797,1.06E-05,0.9999894,1
798,1.17E-06,0.9999988,1
799,4.03E-05,0.9999597,1
800,4.93E-06,0.9999951,1
801,2.86E-06,0.99999714,1
802,1.15E-05,0.99998844,1
803,1.31E-06,0.9999987,1
804,2.57E-05,0.99997437,1
805,0.000331206,0.99966884,1
806,0.000162187,0.99983776,1
807,2.70E-05,0.99997294,1
808,5.03E-05,0.9999497,1
809,5.03E-05,0.9999497,1
810,5.03E-05,0.9999497,1
811,2.30E-06,0.99999774,1
812,1.89E-05,0.99998105,1
813,9.40E-07,0.99999905,1
814,1.91E-07,0.99999976,1
815,0.000605706,0.9993943,1
816,9.55E-05,0.9999045,1
817,3.87E-06,0.9999962,1
818,3.16E-06,0.9999968,1
819,9.79E-07,0.99999905,1
820,0.000194232,0.99980575,1
821,4.60E-07,0.9999995,1
822,7.24E-07,0.9999993,1
823,5.98E-05,0.99994016,1
824,9.36E-06,0.9999906,1
825,2.50E-05,0.99997497,1
826,0.00013062,0.99986935,1
827,1.37E-05,0.9999863,1
828,3.21E-06,0.9999968,1
829,0.000343763,0.9996562,1
830,9.97E-06,0.99999,1
831,9.97E-06,0.99999,1
832,6.25E-06,0.9999938,1
833,1.46E-05,0.99998534,1
834,4.18E-07,0.9999995,1
835,0.000378852,0.99962115,1
836,4.00E-07,0.99999964,1
837,4.10E-07,0.99999964,1
838,2.02E-07,0.99999976,1
839,8.85E-07,0.99999917,1
